variable,group,n_students,real_dropout_rate,predicted_dropout_rate,accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,true_positives,false_positives,true_negatives,false_negatives
Gender,0,564,0.24468085106382978,0.20921985815602837,0.8865248226950354,0.8135593220338984,0.6956521739130435,0.75,0.051643192488262914,0.30434782608695654,96,22,404,42
Gender,1,321,0.45482866043613707,0.3862928348909657,0.8130841121495327,0.8467741935483871,0.7191780821917808,0.7777777777777778,0.10857142857142857,0.2808219178082192,105,19,156,41
Scholarship holder,0,654,0.38990825688073394,0.3394495412844037,0.8394495412844036,0.8378378378378378,0.7294117647058823,0.779874213836478,0.09022556390977443,0.27058823529411763,186,36,363,69
Scholarship holder,1,231,0.12554112554112554,0.08658008658008658,0.9177489177489178,0.75,0.5172413793103449,0.6122448979591837,0.024752475247524754,0.4827586206896552,15,5,197,14
Debtor,0,795,0.2918238993710692,0.22767295597484277,0.8628930817610063,0.8397790055248618,0.6551724137931034,0.7360774818401937,0.05150976909413854,0.3448275862068966,152,29,534,80
Debtor,1,90,0.5777777777777777,0.6777777777777778,0.8333333333333334,0.8032786885245902,0.9423076923076923,0.8672566371681416,0.3157894736842105,0.057692307692307696,49,12,26,3
Tuition fees up to date,0,114,0.8596491228070176,0.9385964912280702,0.9035087719298246,0.9065420560747663,0.9897959183673469,0.9463414634146341,0.625,0.01020408163265306,97,10,6,1
Tuition fees up to date,1,771,0.24124513618677043,0.17509727626459143,0.8534370946822308,0.7703703703703704,0.5591397849462365,0.6479750778816199,0.05299145299145299,0.44086021505376344,104,31,554,82
International,0,859,0.3213038416763679,0.26775320139697323,0.860302677532014,0.8391304347826087,0.6992753623188406,0.7628458498023716,0.0634648370497427,0.3007246376811594,193,37,546,83
International,1,26,0.3076923076923077,0.46153846153846156,0.8461538461538461,0.6666666666666666,1.0,0.8,0.2222222222222222,0.0,8,4,14,0
