variable,group,n_students,real_dropout_rate,predicted_dropout_rate,recall,f1,false_negative_rate
Gender,0,564,0.24468085106382978,0.20921985815602837,0.6956521739130435,0.75,0.30434782608695654
Gender,1,321,0.45482866043613707,0.3862928348909657,0.7191780821917808,0.7777777777777778,0.2808219178082192
Scholarship holder,0,654,0.38990825688073394,0.3394495412844037,0.7294117647058823,0.779874213836478,0.27058823529411763
Scholarship holder,1,231,0.12554112554112554,0.08658008658008658,0.5172413793103449,0.6122448979591837,0.4827586206896552
Debtor,0,795,0.2918238993710692,0.22767295597484277,0.6551724137931034,0.7360774818401937,0.3448275862068966
Debtor,1,90,0.5777777777777777,0.6777777777777778,0.9423076923076923,0.8672566371681416,0.057692307692307696
Tuition fees up to date,0,114,0.8596491228070176,0.9385964912280702,0.9897959183673469,0.9463414634146341,0.01020408163265306
Tuition fees up to date,1,771,0.24124513618677043,0.17509727626459143,0.5591397849462365,0.6479750778816199,0.44086021505376344
International,0,859,0.3213038416763679,0.26775320139697323,0.6992753623188406,0.7628458498023716,0.3007246376811594
International,1,26,0.3076923076923077,0.46153846153846156,1.0,0.8,0.0
